adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/VoVkVJoW3selKkcMNrpStObMVY.jpg,"[53, 18]",947766,tr,"Sunset, tomorrow.",,1.128,/p5lYXQTBzwxe1VdThjMKw3edBVK.jpg,2024-12-29,"Sunset, tomorrow.",False,0,0
False,,"[18, 53]",1115547,en,The Portrait’s Secret,,1.4,/7Tx4abOzawiVvvJaUc8eYDD8rjx.jpg,2024-12-27,The Portrait’s Secret,False,0,0
False,,"[9648, 35]",1072575,en,"Outside, Looking In",A group of diverse and disparate career criminals converge around a new-found otherworldly presence in a bid to boost their fortunes.,1.216,/o6SHnC5kCk4HK732bwECnX2uXJf.jpg,2024-12-27,"Outside, Looking In",False,0,0
False,,"[16, 14, 18, 36, 12]",1112431,en,Twilight Park,"Twilight Park, a life size stop motion animated feature film about a boy Seraphim who along with Howie Heehaw; a rodeo show clown from Tibet, gets the chance to enter his narcoleptic/dementia addled Grandpa's mind and live out his past memories in order to save him.",0.973,/kIC9dJeHpKEw3mqKTh0CjLFGPXa.jpg,2024-12-25,Twilight Park,False,0,0
False,,[],1102464,en,Untitled Jordan Peele Project,,5.415,/eyWagpOxR67uwo0P8ErtdSNdWKs.jpg,2024-12-25,Untitled Jordan Peele Project,False,0,0
False,/8KWeOEIaFw7HeTvKo3FQHQ90DAa.jpg,"[16, 10751]",947674,no,Kvitebjørn,"Valemon: The Polar Bear King is a spectacular and modern animated film based on one of Scandinavia’s most beloved folk tales. It is a story of love, greed, courage, and nature’s wonders, packed with suspense, humour, music and breath­tak­ing scenery.",0.6,/dKI6pWb7FGhGXi5ksF6DQbbJr1N.jpg,2024-12-25,Vale­mon: The Polar Bear King,False,0,0
False,,[14],797716,en,The Magnificent Raiders of Dimension War One,"A collection of rogues must gather information on a mysterious extra-dimensional threat to the galaxy in the 43rd century, and prepare a defense while fending off the first wave of attacks from horrific beings.",1.434,,2024-12-21,The Magnificent Raiders of Dimension War One,False,0,0
False,,"[18, 80, 10749]",1089267,ru,Bastards,,0.6,/5U9DAd2DIi9C12oTax7E25G4h5n.jpg,2024-12-20,Bastards,False,0,0
False,/j0xO6355h5HfvC425sWDT6tiBZM.jpg,"[28, 35, 10751, 878]",939243,en,Sonic the Hedgehog 3,"The third film in the ""Sonic the Hedgehog"" franchise.",42.028,/aNSBaYTgPz8QEADi3xiD52X4uVF.jpg,2024-12-18,Sonic the Hedgehog 3,False,0,0
False,,"[28, 878, 12]",83533,en,Avatar 3,The third entry in the Avatar franchise.,15.179,/uv9Yaze9xwEJIVjrsOGhhZzSV5s.jpg,2024-12-18,Avatar 3,False,0,0
False,/feI6GfCgmzKxIoNfG6yyrtn9ib.jpg,"[18, 14, 10749]",402431,en,Wicked Part 1,"Wicked tells the story of Elphaba, the future Wicked Witch of the West and her relationship with Glinda, the Good Witch of the North. The first of a two-part feature film adaptation of the Broadway musical.",3.431,/iS46QOZ8uvMRgLMHY22S1GhMwCc.jpg,2024-11-27,Wicked Part 1,False,0,0
False,,"[28, 18, 12]",558449,en,Untitled Gladiator Sequel,"The film will follow the continuing story of Lucius, the son of Lucilla.",8.205,/1HPoY1RyGdBGfHfYB9t9Jrq8Zmx.jpg,2024-11-22,Untitled Gladiator Sequel,False,0,0
False,,"[37, 18]",985332,en,Blood in the Snow,A small 1880s town in Montana struggles to survive a brutal winter.,1.562,,2024-11-15,Blood in the Snow,False,0,0
False,,[],1022635,fr,À chacun son Cercle 3,,0.637,,2024-11-11,To Each His Own Circle 3,False,0,0
False,/AedbvbzVrdGMhi9oFPhorizbtTL.jpg,"[28, 35, 12]",533535,en,Deadpool 3,The third installment in the Deadpool franchise.,31.346,/n4HOCzrdQ19hriCqBLMZ4bwdZ9X.jpg,2024-11-06,Deadpool 3,False,0,0
False,,"[28, 18, 27]",1042741,en,The Chaos of Bissybuth,The world begins to collapse on itself as the city of Bissybuth sinks to the bottom of the ocean.,1.221,,2024-11-02,The Chaos of Bissybuth,False,0,0
False,,"[27, 35]",980599,hi,भूल भुलैया 3,Sequel to the box office hit Bhool Bhulaiyaa 2.,1.139,,2024-11-01,Bhool Bhulaiyaa 3,False,0,0
False,,[],700213,en,The Wronged One,A girl tries to cope with her sister's suicide and the struggles of her daily life.,1.188,/8ZYgu7tNaw9CSpVCaBMiil1gb0r.jpg,2024-10-31,The Wronged One,False,0,0
False,,"[878, 27, 35]",765810,en,The Moon is a Hologram,A Queer Sci-Fi film set in Manchester.,2.69,/vPFnCYMqalPDr8bvEj4qXjP2aw1.jpg,2024-10-30,The Moon is a Hologram,False,0,0
False,,"[35, 80, 27]",1115548,es,"Podcast, Rapaces Nocturnos",,0.677,/xyGOSY7qIhOcJp4TYxKNvnRT6sc.jpg,2024-10-27,"Podcast, Rapaces Nocturnos",False,0,0
