adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1101390,uk,Оптика,"Yesterday's serviceman Serhii stepping into the new life of a civilian that morning had already lost pace by lunchtime. The transition no longer seems like a walk to him, the day is coming to an end, but a new life still does not begin.",0.6,/9ZWePnVZrQx4qpa8s0GSa7vv4LQ.jpg,2022-09-02,Optics,False,0,0
False,,[],1101389,en,This Noble Land,An experimental short film celebrating national queer pride featuring some of Botswana's LGBT creative minds and activists.,0.6,/ftC0gGijLa4SL5dCvoCtHCBE9UB.jpg,2022-12-14,This Noble Land,False,0,0
False,,[],1101368,pt,Quinze Primaveras,The colector Ravena brings the universe of 15-year-old girl parties to talk about dreams and belonging.,0.6,/eEYzHc6s0yBiV8ikBDpirCzxf1w.jpg,2022-12-14,The Quinceañeras,False,0,0
False,,[],1101339,sv,The Dress Code,"Two people are having breakfast. First it looks like they live together but in a wider shot we can see that they are living separately. One of them have published a personal dating ad, requiring something very specific.",0.6,/y49IPmj6BE8lSgwbU13L2FDLeLX.jpg,2022-09-08,The Dress Code,False,0,0
False,,[],1101332,he,שייך לענת,"Marva (27) finds that on every item in her home there’s a note that reads “Belongs to Anat”. understanding that Anat has left her and that she is on her own, she goes on a journey asking people for guidance. That fails, so in a desperate attempt she sings Anat a love song in the lobby of her office building.",0.6,/lEjlktMdmj8bDDRgb2jYLULzbh7.jpg,2022-10-28,Belongs to Anat,False,0,0
False,/3a4OfErGuAEGv6mi9hQ5m35tkSh.jpg,[99],1101323,fr,Canada - Les terres sauvages,,0.6,/doyOcaiUNS1zPbR2RDz2guG1eOt.jpg,2022-02-09,Canada - Les terres sauvages,False,0,0
False,/okcylrqoCOYa24fSEBgwQ166Fzf.jpg,"[35, 10402]",1101288,fa,بانک زده‌ها,Bank Zadeha depicts the adventures of several bank robbers and the differences between them,0.6,/lGhrJXWCHjEPHC2Y1Up6sdvvuVR.jpg,2022-08-31,Bank Robbers,False,0,0
False,/tiBsZX7kLRGspvvRqNw0i8Mtkx.jpg,[18],1101250,en,Strangers,"In a story based on real events, a boy deals with disease and despair in a remote Nigerian village -- until an unexpected source of help changes his life.",0.671,/yDyiqYJ94LVjDOY8t4stJkZfBQd.jpg,2022-04-29,Strangers,False,4,1
False,/lcwlZBUL1AHi1fjZz5g2s9AmIRV.jpg,"[27, 35]",1101236,en,Voices,"A man begins to hear a haunting voice, but can’t quite figure out where it’s coming from.",0.6,/73QHF0MXKMDsYdr2fmm0QtumuYs.jpg,2022-10-31,Voices,False,0,0
False,/PtWetm1jawNbigZMVp3J78O57T.jpg,"[27, 35]",1101232,en,Naughty,An ungrateful little brat gets exactly what he deserves.,0.6,/wl1sD6NSqGknBXqXgioebXlNJAu.jpg,2022-12-31,Naughty,False,0,0
False,/mpEpSiVieTkybwNYWWLXHlFotb5.jpg,"[18, 80]",1101229,en,The Price for a Princess,"After the death of Princess' mother, her father Malik looks after her alone. Unable to support Princess by himself, Malik resorts to drastic measures.",0.6,/a0pVUgrurqSGVQTLhSlGZHp7nbA.jpg,2022-12-05,The Price for a Princess,False,0,0
False,,[],1101172,en,Ten Years of Mayhem,A close look at the lives of youths in the early Norwegian Black Metal scene.,0.6,/6c5kc98e9y2l5LO4pfdZDZwGKoz.jpg,2022-01-22,Ten Years of Mayhem,False,0,0
False,/kUmvodnOchRl6uR32ujEQ6Bh0z0.jpg,"[99, 36]",1101153,en,The Real Spies Among Friends,Documentary telling the real story of the Cambridge Spies - subject of the drama series A Spy Among Friends.,0.6,/gno2p16xzOexU9653Zjax37FVwM.jpg,2022-12-08,The Real Spies Among Friends,False,0,0
False,,[27],1101146,en,Dinner with Friends,"A house filled with drama leads to a personal chef to put an end to it, once and for all.",0.6,,2022-10-31,Dinner with Friends,False,0,0
False,/wC7HH9tYdyWtU07PjaGaVXfUkEW.jpg,[99],1101143,fr,Art Trails of the Riviera,,0.6,/4Z21fpbUzAhZ3OXGvGjCUUj9CeJ.jpg,2022-08-17,Art Trails of the Riviera,False,0,0
False,/zUC2CUDoTk4A31WBbgegmV2wkgE.jpg,[99],1101109,ru,Суперсерия 72,,0.6,/n5DfUf2RNfcXVqWAQ9poDYFbUCc.jpg,2022-12-26,Суперсерия 72,False,0,0
False,,[],1101107,fr,Bad night,"Overnight, the thugs settle their affairs.",0.6,/jRNqc5Bgcx3xuyVo9VLcWo6SfnW.jpg,2022-12-30,Bad night,False,0,0
False,/8AOvfXKPtjey1imeIB1MlThIKBt.jpg,"[35, 27]",1101100,en,Scooby-Doo Meets Ghostface,"After getting the Mystery Machine towed, the gang heads to Woodsboro to try and win prize money catching a certain masked killer to pay for their fine.",0.707,/67venFfHLKzc2rwbbdrGwM2P2ez.jpg,2022-02-03,Scooby-Doo Meets Ghostface,False,10,1
False,,[18],1101090,en,"Dear Dad,","A Christmas tale that so many desire and even some have experienced. Danny married the love of his life, Tameka. They have two daughters. All the family time putting up lights and Christmas decorations came to a halt. Danny's dad abandoned him as a child. The pain of that was buried deep until this phone call before Christmas.",0.6,/bAwGU8yuF9Ueh8ixS3j9EtgFlMQ.jpg,2022-12-16,"Dear Dad,",False,0,0
False,,[18],1101086,en,Reflection,"In the wake of tragedy, a toy rabbit is left behind at a duck pond.",0.6,/nc8SGJXTSn5RtCNZnAc4CZb63bw.jpg,2022-08-24,Reflection,False,0,0
